Log Time,Period(ms),Service,Operation
2018-07-10 17:40:13,144,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:40:36,1312,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:40:36,1826,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:41:14,138,CommonService,RolWS/getCollteral/H61003DDR0
2018-07-10 17:41:14,8,CommonService,RolWS/getConfHousingAppraisal/H61003DDR0
2018-07-10 17:41:14,8,CommonService,addressWS/getAllDIHProvince
2018-07-10 17:41:14,101,CommonService,addressWS/getAllDIHDistrict
2018-07-10 17:41:15,609,CommonService,addressWS/getAllDIHSubDistrict
2018-07-10 17:41:19,121,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
2018-07-10 17:41:20,16,CommonService,RolWS/confirmROL
2018-07-10 17:41:23,109,CommonService,WorkflowWS/listUserInbox
2018-07-10 17:41:25,92,CommonService,WorkflowWS/openCaseByAppNo/H61003DDR0
2018-07-10 17:41:33,13,CommonService,statusRejectWS/getRejectList/H61003DDR0
2018-07-10 17:41:36,2,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-10 17:42:53,7,CommonService,relationshipWS/getCustomerWealthOther/H61003DDR0/4686
2018-07-10 17:42:53,7,CommonService,relationshipWS/getCustomerWealthKbank/H61003DDR0/4686
2018-07-10 17:42:53,9,CommonService,relationshipWS/getCustomerWealthAsset/H61003DDR0/4686
2018-07-10 17:42:53,69,CommonService,addressWS/getAllAddress
2018-07-10 17:43:19,232,CommonService,relationshipWS/saveBorrowerCustomerProfile
2018-07-10 17:43:31,8,CommonService,addressWS/getAllDIHProvince
2018-07-10 17:43:31,189,CommonService,addressWS/getAllDIHDistrict
2018-07-10 17:43:32,704,CommonService,addressWS/getAllDIHSubDistrict
2018-07-10 17:43:47,346,CommonService,WorkflowWS/listUserInbox
2018-07-10 17:43:52,31,CommonService,addressWS/getAllDIHProvince
2018-07-10 17:43:52,103,CommonService,addressWS/getAllDIHDistrict
2018-07-10 17:43:52,60,CommonService,WorkflowWS/openCaseByAppNo/H6100487R0
2018-07-10 17:43:52,608,CommonService,addressWS/getAllDIHSubDistrict
2018-07-10 17:43:59,11,CommonService,statusRejectWS/getRejectList/H6100487R0
2018-07-10 17:44:02,11,CommonService,statusRejectWS/getRejectList/H6100487R0
2018-07-10 17:44:03,66,CommonService,addressWS/getAllAddress
2018-07-10 17:44:05,2,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-10 17:44:34,68,CommonService,addressWS/getAllAddress
2018-07-10 17:44:34,3,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-10 17:44:51,6,CommonService,WorkflowWS/getApprove020ApproveType
2018-07-10 17:44:53,14,CommonService,statusRejectWS/getRejectList/H61003DDR0
2018-07-10 17:44:55,108,CommonService,WorkflowWS/listUserInbox
2018-07-10 17:44:58,96,CommonService,WorkflowWS/openCaseByAppNo/H61003DDR0
2018-07-10 17:45:04,13,CommonService,statusRejectWS/getRejectList/H61003DDR0
2018-07-10 17:45:06,208,CommonService,applicationCaseWS/getApplicationStatus/H61003DDR0
2018-07-10 17:45:06,109,CommonService,applicationCaseWS/getCreditorsTable/H61003DDR0
2018-07-10 17:45:06,120,CommonService,applicationCaseWS/getApproverTable/H61003DDR0/approve-020
2018-07-10 17:45:06,109,CommonService,applicationCaseWS/getApproverTable/H61003DDR0/approve-055
2018-07-10 17:45:13,110,CommonService,addressWS/getAllAddress
2018-07-10 17:45:13,66,CommonService,addressWS/getAllAddress
2018-07-10 17:45:18,2,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:45:18,5,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-10 17:45:18,202,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-10 17:45:22,72,CommonService,addressWS/getAllAddress
2018-07-10 17:45:23,70,CommonService,addressWS/getAllAddress
2018-07-10 17:45:45,3,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-10 17:45:45,2,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:45:45,2,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:45:45,119,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
2018-07-10 17:45:45,234,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-10 17:46:10,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:46:10,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:46:10,82,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
2018-07-10 17:46:15,130,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:46:15,137,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:46:23,17,CommonService,customerWS/getInquiryTable
2018-07-10 17:46:25,61,CommonService,WorkflowWS/openCaseByAppNo/H6100355R0
2018-07-10 17:46:26,12,CommonService,statusRejectWS/getRejectList/H6100355R0
2018-07-10 17:46:29,6,CommonService,applicationCaseWS/applicationExternalService/H61003DDR0/AP/DE/0
2018-07-10 17:46:32,1431,CommonService,decisionEngineWS/getPolicy/home-loan/H61003DDR0/undefined
2018-07-10 17:47:00,77,CommonService,applicationCaseWS/getApplicationStatus/H6100355R0
2018-07-10 17:47:01,69,CommonService,applicationCaseWS/getCreditorsTable/H6100355R0
2018-07-10 17:47:01,88,CommonService,applicationCaseWS/getApproverTable/H6100355R0/approve-020
2018-07-10 17:47:01,81,CommonService,applicationCaseWS/getApproverTable/H6100355R0/approve-055
2018-07-10 17:47:10,37,CommonService,customerWS/getInquiryTable
2018-07-10 17:48:17,4,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-10 17:48:39,12,CommonService,statusRejectWS/getRejectList/H6100487R0
2018-07-10 17:48:53,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 17:49:16,6,CommonService,addressWS/getAllDIHProvince
2018-07-10 17:49:16,101,CommonService,addressWS/getAllDIHDistrict
2018-07-10 17:49:17,610,CommonService,addressWS/getAllDIHSubDistrict
2018-07-10 17:49:29,2,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-10 17:49:30,4,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-10 17:50:18,11,CommonService,statusRejectWS/getRejectList/H6100487R0
2018-07-10 17:50:18,7,CommonService,employeeWS/findBranchEmployee/810014
2018-07-10 17:50:18,138,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:50:19,135,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:50:19,135,CommonService,dropdownWS/getDihRCAll
2018-07-10 17:50:53,12,CommonService,statusRejectWS/getRejectList/H6100487R0
2018-07-10 17:51:02,8,CommonService,applicationCaseWS/getSmartServeCaseId/H6100487R0
2018-07-10 17:51:04,156,CommonService,atomicWS/registerSestionService/711
2018-07-10 17:52:06,63,CommonService,WorkflowWS/openCaseByAppNo/H6100486R0
2018-07-10 17:52:09,10,CommonService,statusRejectWS/getRejectList/H6100486R0
