Log Time,Period(ms),Service,Operation
2018-07-18 14:09:13,21,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-18 14:09:13,27,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-18 14:09:16,4,CommonService,WorkflowWS/logout
2018-07-18 14:09:22,8,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-18 14:09:22,20,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-18 14:09:22,36,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-18 14:09:22,23,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-18 14:09:22,84,CommonService,addressWS/getAllAddress
2018-07-18 14:09:22,73,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-18 14:09:22,4,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-18 14:09:28,32,CommonService,UnsecureWS/login
2018-07-18 14:09:29,74,CommonService,WorkflowWS/listUserInbox
2018-07-18 14:09:30,2,CommonService,PartInstPeriodWS/getConfPartInstPeriod/7
2018-07-18 14:09:34,69,CommonService,addressWS/getAllAddress
2018-07-18 14:09:37,36,CommonService,UnsecureWS/login
2018-07-18 14:09:37,9,CommonService,messageCodeWS/getAllMessage
2018-07-18 14:09:38,133,CommonService,WorkflowWS/listUserInbox
2018-07-18 14:09:39,100,CommonService,WorkflowWS/openCaseByAppNo/H6100377R1
2018-07-18 14:09:39,16,CommonService,statusRejectWS/getRejectList/H6100377R1
2018-07-18 14:09:40,3,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
2018-07-18 14:09:40,4,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-18 14:09:40,9,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
2018-07-18 14:09:40,3,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
2018-07-18 14:09:40,4,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
2018-07-18 14:09:43,7,CommonService,dropdownWS/getAppStatusDropdown
2018-07-18 14:09:43,145,CommonService,applicationCaseWS/getApplicationStatus/H6100377R1
2018-07-18 14:09:43,144,CommonService,applicationCaseWS/getCreditorsTable/H6100377R1
