Log Time,Period(ms),Service,Operation
2018-07-19 16:34:44,2398,AgentService,agentWS/startFraudResultManual
2018-07-19 19:04:29,322,AgentService,agentWS/startFraudResultManual
2018-07-20 10:49:18,598,AgentService,agentWS/startFraudResultManual
2018-07-20 14:36:35,2089,AgentService,agentWS/startFraudResultManual
2018-07-20 17:10:19,846,AgentService,agentWS/startFraudResultManual
2018-07-20 12:27:01,1853,CommonService,UnsecureWS/login
2018-07-20 12:27:02,100,CommonService,messageCodeWS/getAllMessage
2018-07-20 12:27:04,1855,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:27:08,45,CommonService,dropdownWS/getDropdown/HL_RELATION_BORROWER_FR
2018-07-20 12:27:08,77,CommonService,dropdownWS/getDropdown/HL_DOC_REG
2018-07-20 12:27:08,55,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-20 12:27:08,88,CommonService,dropdownWS/getDropdown/HL_NATIONALITY
2018-07-20 12:27:08,68,CommonService,dropdownWS/getDropdown/HL_GENDER
2018-07-20 12:27:08,69,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-20 12:27:14,2568,CommonService,customerWS/findCustomerFromCIS
2018-07-20 12:27:19,8,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-20 12:27:35,56,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:27:38,18,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:27:48,30,CommonService,applicationCaseWS/getSmartServeCaseId/H610058ER0
2018-07-20 12:27:49,400,CommonService,atomicWS/registerSestionService/711
2018-07-20 12:28:40,848,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:28:41,122,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:28:42,18,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:28:48,69,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:28:48,11,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-20 12:28:48,4,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-20 12:28:49,34,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-20 12:28:49,41,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-20 12:28:49,40,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-20 12:28:49,258,CommonService,addressWS/getAllAddress
2018-07-20 12:28:49,262,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-20 12:29:00,75,CommonService,UnsecureWS/login
2018-07-20 12:29:01,68,CommonService,messageCodeWS/getAllMessage
2018-07-20 12:29:01,115,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:29:06,6,CommonService,dropdownWS/getDropdown/HL_DOC_REG
2018-07-20 12:29:06,22,CommonService,dropdownWS/getDropdown/HL_NATIONALITY
2018-07-20 12:29:06,20,CommonService,dropdownWS/getDropdown/HL_GENDER
2018-07-20 12:29:06,10,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-20 12:29:06,10,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-20 12:29:06,6,CommonService,dropdownWS/getDropdown/HL_RELATION_BORROWER_FR
2018-07-20 12:29:12,1725,CommonService,customerWS/findCustomerFromCIS
2018-07-20 12:29:14,12,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-20 12:29:25,18,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:29:28,17,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:29:38,10,CommonService,applicationCaseWS/getSmartServeCaseId/H610058FR0
2018-07-20 12:29:38,262,CommonService,atomicWS/registerSestionService/711
2018-07-20 12:30:04,5,CommonService,dropdownWS/getDropdown/HL_PROFESSION
2018-07-20 12:30:04,3,CommonService,dropdownWS/getDropdown/ORG_TITLE_TH
2018-07-20 12:30:04,44,CommonService,dropdownWS/getDropdown/HL_BUSINESS_TYPE
2018-07-20 12:30:04,50,CommonService,dropdownWS/getDropdown/BANK_CODE
2018-07-20 12:30:04,54,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
2018-07-20 12:30:04,80,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
2018-07-20 12:30:04,447,CommonService,addressWS/getAllAddress
2018-07-20 12:30:11,58,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:30:13,152,CommonService,WorkflowWS/openCaseByAppNo/H610058FR0
2018-07-20 12:30:13,24,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:30:15,18,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:30:17,18,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-20 12:30:17,14,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-20 12:30:17,16,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-20 12:30:17,14,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-20 12:30:17,10,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
