MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,Service,Operation
42,2,9,107,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
28678,192,1047,107,CommonService,ConfHousingGradeWS/getConfHousingGrade
4407,82,405,25,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
73,1,5,230,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
10059,614,4715,9,CommonService,KbmfOnlineCatsWS/InquiryCollateral
182,109,136,17,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
19175,11738,15654,6,CommonService,LoanWS/getHLCollateral
6234,3576,4598,12,CommonService,LoanWS/getHomeLendingLimit
14,1,2,88,CommonService,PartInstPeriodWS/getConfPartInstPeriod
141,11,21,18,CommonService,RolWS/confirmROL
331,78,156,26,CommonService,RolWS/getCollteral
66,6,11,26,CommonService,RolWS/getConfHousingAppraisal
336,98,217,2,CommonService,UnsecureWS/bypassLogin
506,5,49,244,CommonService,UnsecureWS/login
25,14,19,2,CommonService,WorkflowWS/changeApprove020ApproveType
23,6,8,19,CommonService,WorkflowWS/getApprove020ApproveType
24,22,23,3,CommonService,WorkflowWS/getDefaultPoolList
3407,5,183,340,CommonService,WorkflowWS/listUserInbox
27,2,3,180,CommonService,WorkflowWS/logout
549,4,120,326,CommonService,WorkflowWS/openCaseByAppNo
9657,63,870,337,CommonService,addressWS/getAllAddress
1629,81,163,180,CommonService,addressWS/getAllDIHDistrict
114,5,17,180,CommonService,addressWS/getAllDIHProvince
3829,555,774,180,CommonService,addressWS/getAllDIHSubDistrict
22,6,7,26,CommonService,applicationCaseWS/applicationExternalService
234,205,219,2,CommonService,applicationCaseWS/getApplicationHistory
1324,24,149,124,CommonService,applicationCaseWS/getApplicationStatus
71,6,22,7,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
1039,3,403,20,CommonService,applicationCaseWS/getAppointmentInfo
472,48,143,198,CommonService,applicationCaseWS/getApproverTable
52,44,47,3,CommonService,applicationCaseWS/getAssignUserList
403,43,129,99,CommonService,applicationCaseWS/getCreditorsTable
445,218,296,3,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
432,313,360,3,CommonService,applicationCaseWS/getManagerOfSpecificBranch
58,5,8,53,CommonService,applicationCaseWS/getSmartServeCaseId
38,7,15,4,CommonService,applicationCaseWS/getWitness1ForDsa
33,6,13,4,CommonService,applicationCaseWS/getWitness2ForDsa
54,48,51,2,CommonService,applicationCaseWS/saveAssignTask
474,49,178,56,CommonService,atomicWS/registerSestionService
47,9,28,2,CommonService,confResubmitReasonWS/confResubmitReason
1804,1804,1804,1,CommonService,connectCloudPrintWS/printPdfVerifyDocument
361,14,148,4,CommonService,csvWS/download
184,14,53,10,CommonService,csvWS/upload
2834,139,859,45,CommonService,customerWS/findCustomerFromCIS
3796,825,1888,13,CommonService,customerWS/findKplusCustomer
14811,10656,12733,2,CommonService,customerWS/findWealthDetails
8221,4943,6062,16,CommonService,customerWS/getDeductAccountDetails
692,4,127,149,CommonService,customerWS/getInquiryTable
15,2,3,801,CommonService,customerWS/inquiryKPlusAcceptResult
3286,5,173,26,CommonService,customerWS/searchByTel
28713,1505,4582,19,CommonService,decisionEngineWS/getLoanCal
2837,608,1272,25,CommonService,decisionEngineWS/getPolicy
19,2,4,45,CommonService,dropdownWS/getAppStatusDropdown
76,76,76,1,CommonService,dropdownWS/getConfDQEProvinceRelation
23,23,23,1,CommonService,dropdownWS/getConfDocGroupAll
47,47,47,1,CommonService,dropdownWS/getConfDocTypeAll
12,1,3,84,CommonService,dropdownWS/getConfKdmsDocumentDropDown
17,1,4,56,CommonService,dropdownWS/getConfValueList
5223,129,540,115,CommonService,dropdownWS/getDihRCAll
341,1,10,1360,CommonService,dropdownWS/getDropdown
27,3,5,67,CommonService,dropdownWS/getRejectReasonDropdown
106,7,31,18,CommonService,employeeWS/findBranchEmployee
22,6,10,15,CommonService,employeeWS/findDSAEmployee
1586,6,38,68,CommonService,messageCodeWS/getAllMessage
66,66,66,1,CommonService,relationshipWS/deleteCustomer
115,81,99,4,CommonService,relationshipWS/findObjBySubjRelationship
61,4,31,10,CommonService,relationshipWS/getCustomerWealthAsset
78,7,30,10,CommonService,relationshipWS/getCustomerWealthKbank
51,7,30,10,CommonService,relationshipWS/getCustomerWealthOther
640,128,310,7,CommonService,relationshipWS/saveBorrowerCustomerProfile
142,142,142,1,CommonService,relationshipWS/saveRelationCustomerProfile
65,12,16,52,CommonService,resubmitReasonWS/doFindAppStatus
17,5,11,2,CommonService,resubmitReasonWS/doFindByAppNo
16,16,16,1,CommonService,resubmitReasonWS/doUpdateApplication
16,16,16,1,CommonService,resubmitReasonWS/resubmitReason
166,5,21,621,CommonService,statusRejectWS/getRejectList
17,17,17,1,HomeLoanService,HomeLoanWS/doBack/approve-020/collateral-acting
34,18,23,3,HomeLoanService,HomeLoanWS/doBack/approve-020/debt-exposure
38,38,38,1,HomeLoanService,HomeLoanWS/doBack/approve-020/partial-installment
18,18,18,1,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-hr
19,19,19,1,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-website
71,71,71,1,HomeLoanService,HomeLoanWS/doBack/approve-030/collateral-acting
73,73,73,1,HomeLoanService,HomeLoanWS/doBack/approve-030/credit-exposure
382,382,382,1,HomeLoanService,HomeLoanWS/doBack/approve-030/credit-limit-detail
77,67,72,2,HomeLoanService,HomeLoanWS/doBack/approve-030/debt-exposure
81,81,81,1,HomeLoanService,HomeLoanWS/doBack/approve-030/relationship
80,80,80,1,HomeLoanService,HomeLoanWS/doBack/approve-030/verify-summary
76,60,68,2,HomeLoanService,HomeLoanWS/doBack/approve-040/debt-exposure
77,77,77,1,HomeLoanService,HomeLoanWS/doBack/approve-060/approve-decision
7,7,7,1,HomeLoanService,HomeLoanWS/doBack/prepare-010/basic-repayment-ability
50,10,27,6,HomeLoanService,HomeLoanWS/doBack/prepare-020/income
55,16,38,4,HomeLoanService,HomeLoanWS/doBack/prepare-020/loan-info
34,34,34,1,HomeLoanService,HomeLoanWS/doBack/prepare-020/personal-info
26,18,21,3,HomeLoanService,HomeLoanWS/doBack/prepare-021/package
30,18,24,2,HomeLoanService,HomeLoanWS/doBack/prepare-021/summary-package
34,11,23,4,HomeLoanService,HomeLoanWS/doBack/prepare-022/summary-package
50,50,50,3,HomeLoanService,HomeLoanWS/doBack/prepare-030/sale-channel
53,26,43,3,HomeLoanService,HomeLoanWS/doBack/prepare-030/summary-result
40,40,40,1,HomeLoanService,HomeLoanWS/doCancel/prepare-011
50,50,50,1,HomeLoanService,HomeLoanWS/doCancel/prepare-012
53,53,53,1,HomeLoanService,HomeLoanWS/doCancel/prepare-020
35,24,28,5,HomeLoanService,HomeLoanWS/doNavigate/prepare-021
32,25,28,2,HomeLoanService,HomeLoanWS/doNavigate/prepare-022
84,22,59,10,HomeLoanService,HomeLoanWS/doNavigate/prepare-030
40,16,25,7,HomeLoanService,HomeLoanWS/doNext/approve-010/credit-limit-detail
3097,907,2063,9,HomeLoanService,HomeLoanWS/doNext/approve-010/verify-document
