MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,Service,Operation
37,2,7,69,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
28678,192,1372,69,CommonService,ConfHousingGradeWS/getConfHousingGrade
4407,82,414,24,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
73,1,5,145,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
5447,614,2952,4,CommonService,KbmfOnlineCatsWS/InquiryCollateral
182,109,133,9,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
18473,11738,15187,4,CommonService,LoanWS/getHLCollateral
6234,4123,4906,5,CommonService,LoanWS/getHomeLendingLimit
11,1,2,48,CommonService,PartInstPeriodWS/getConfPartInstPeriod
141,11,26,10,CommonService,RolWS/confirmROL
331,78,176,15,CommonService,RolWS/getCollteral
66,6,12,15,CommonService,RolWS/getConfHousingAppraisal
336,98,217,2,CommonService,UnsecureWS/bypassLogin
450,5,48,118,CommonService,UnsecureWS/login
14,14,14,1,CommonService,WorkflowWS/changeApprove020ApproveType
11,6,7,11,CommonService,WorkflowWS/getApprove020ApproveType
22,22,22,1,CommonService,WorkflowWS/getDefaultPoolList
3407,11,193,165,CommonService,WorkflowWS/listUserInbox
27,2,3,95,CommonService,WorkflowWS/logout
527,4,135,182,CommonService,WorkflowWS/openCaseByAppNo
9657,63,1275,215,CommonService,addressWS/getAllAddress
1629,81,191,75,CommonService,addressWS/getAllDIHDistrict
92,6,17,75,CommonService,addressWS/getAllDIHProvince
3222,555,867,75,CommonService,addressWS/getAllDIHSubDistrict
22,6,7,14,CommonService,applicationCaseWS/applicationExternalService
234,205,219,2,CommonService,applicationCaseWS/getApplicationHistory
607,39,139,50,CommonService,applicationCaseWS/getApplicationStatus
18,18,18,1,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
373,270,321,2,CommonService,applicationCaseWS/getAppointmentInfo
244,70,132,70,CommonService,applicationCaseWS/getApproverTable
52,44,47,3,CommonService,applicationCaseWS/getAssignUserList
286,43,134,35,CommonService,applicationCaseWS/getCreditorsTable
15,6,7,28,CommonService,applicationCaseWS/getSmartServeCaseId
8,8,8,1,CommonService,applicationCaseWS/getWitness1ForDsa
8,8,8,1,CommonService,applicationCaseWS/getWitness2ForDsa
54,48,51,2,CommonService,applicationCaseWS/saveAssignTask
474,50,189,29,CommonService,atomicWS/registerSestionService
