MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
151,3,22,39,858,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
271,72,131,39,5109,CommonService,ConfHousingGradeWS/getConfHousingGrade
519,82,151,23,3473,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
139,2,10,56,560,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
9763,883,4022,9,36198,CommonService,KbmfOnlineCatsWS/InquiryCollateral
243,93,136,19,2584,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
12794,11714,12265,3,36795,CommonService,LoanWS/getHLCollateral
5773,438,3277,10,32770,CommonService,LoanWS/getHomeLendingLimit
14,1,2,105,210,CommonService,PartInstPeriodWS/getConfPartInstPeriod
108,12,30,18,540,CommonService,RolWS/confirmROL
581,79,228,20,4560,CommonService,RolWS/getCollteral
220,6,30,20,600,CommonService,RolWS/getConfHousingAppraisal
287,192,231,4,924,CommonService,UnsecureWS/bypassLogin
1721,5,47,309,14523,CommonService,UnsecureWS/login
934255,14,186868,5,934340,CommonService,WorkflowWS/changeApprove020ApproveType
928376,6,25796,36,928656,CommonService,WorkflowWS/getApprove020ApproveType
45,29,33,7,231,CommonService,WorkflowWS/getDefaultPoolList
929531,5,4376,438,1916688,CommonService,WorkflowWS/listUserInbox
59,2,3,258,774,CommonService,WorkflowWS/logout
872,56,111,401,44511,CommonService,WorkflowWS/openCaseByAppNo
530,59,87,246,21402,CommonService,addressWS/getAllAddress
352,94,137,126,17262,CommonService,addressWS/getAllDIHDistrict
143,5,17,126,2142,CommonService,addressWS/getAllDIHProvince
15080,553,940,126,118440,CommonService,addressWS/getAllDIHSubDistrict
51,6,9,30,270,CommonService,applicationCaseWS/applicationExternalService
156,77,116,2,232,CommonService,applicationCaseWS/getApplicationHistory
1202,33,148,178,26344,CommonService,applicationCaseWS/getApplicationStatus
96,5,11,28,308,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
3408,292,1078,32,34496,CommonService,applicationCaseWS/getAppointmentInfo
439,73,139,240,33360,CommonService,applicationCaseWS/getApproverTable
331,38,119,22,2618,CommonService,applicationCaseWS/getAssignUserList
502,58,146,120,17520,CommonService,applicationCaseWS/getCreditorsTable
279,152,192,17,3264,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
409,243,285,17,4845,CommonService,applicationCaseWS/getManagerOfSpecificBranch
48,5,10,44,440,CommonService,applicationCaseWS/getSmartServeCaseId
21,8,10,10,100,CommonService,applicationCaseWS/getWitness1ForDsa
13,6,9,10,90,CommonService,applicationCaseWS/getWitness2ForDsa
236,31,88,5,440,CommonService,applicationCaseWS/saveAssignTask
315,50,166,46,7636,CommonService,atomicWS/registerSestionService
48,48,48,1,48,CommonService,confResubmitReasonWS/confResubmitReason
43,4,12,26,312,CommonService,confSkillWS/getConfSkill
3,3,3,1,3,CommonService,confWS/getDeveloperAccountDetails
6890,197,1239,27,33453,CommonService,customerWS/findCustomerFromCIS
2081,919,1532,7,10724,CommonService,customerWS/findKplusCustomer
30085,3,7429,58,430882,CommonService,customerWS/getDeductAccountDetails
11762,4,230,223,51290,CommonService,customerWS/getInquiryTable
30082,11,10348,4,41392,CommonService,customerWS/getODAccountDetails
38,2,3,1426,4278,CommonService,customerWS/inquiryKPlusAcceptResult
21149,1667,5436,10,54360,CommonService,decisionEngineWS/getLoanCal
1999,505,1075,30,32250,CommonService,decisionEngineWS/getPolicy
33,33,33,1,33,CommonService,documentWS/getDocGroupFollowUpHistoryByflpRefId
75,75,75,1,75,CommonService,documentWS/viewContent
131,2,7,43,301,CommonService,dropdownWS/getAppStatusDropdown
12,1,3,113,339,CommonService,dropdownWS/getConfKdmsDocumentDropDown
23,1,5,46,230,CommonService,dropdownWS/getConfValueList
7080,132,353,108,38124,CommonService,dropdownWS/getDihRCAll
181,1,9,1063,9567,CommonService,dropdownWS/getDropdown
47,3,5,70,350,CommonService,dropdownWS/getRejectReasonDropdown
45,7,13,14,182,CommonService,employeeWS/findBranchEmployee
66,6,18,12,216,CommonService,employeeWS/findDSAEmployee
1400,59,403,5,2015,CommonService,genFileExcelWS/exportFileExcel
33,6,14,5,70,CommonService,genFileExcelWS/getAllConfReport
164,7,16,50,800,CommonService,messageCodeWS/getAllMessage
221,6,23,94,2162,CommonService,relationshipWS/findIndirectPerson
161,68,94,4,376,CommonService,relationshipWS/findObjBySubjRelationship
68,10,33,3,99,CommonService,relationshipWS/getCustomerWealthAsset
68,7,33,3,99,CommonService,relationshipWS/getCustomerWealthKbank
75,15,38,3,114,CommonService,relationshipWS/getCustomerWealthOther
220,130,175,2,350,CommonService,relationshipWS/saveBorrowerCustomerProfile
223,12,24,92,2208,CommonService,resubmitReasonWS/doFindAppStatus
40,40,40,1,40,CommonService,resubmitReasonWS/doFindByAppNo
5811,461,1372,6,8232,CommonService,resubmitWS/resubmitChangeCustomers
551,9,21,711,14931,CommonService,statusRejectWS/getRejectList
248,10,63,134,8442,CommonService,userParameterConfigWS/saveUser
