MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
2398,322,1250,5,6250,AgentService,agentWS/startFraudResultManual
55,2,16,61,976,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
1589,76,149,61,9089,CommonService,ConfHousingGradeWS/getConfHousingGrade
160,85,106,24,2544,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
113,2,14,78,1092,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
5836,819,4275,31,132525,CommonService,KbmfOnlineCatsWS/InquiryCollateral
228,111,137,26,3562,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
21837,11498,14227,7,99589,CommonService,LoanWS/getHLCollateral
6490,3855,4853,10,48530,CommonService,LoanWS/getHomeLendingLimit
24,1,2,312,624,CommonService,PartInstPeriodWS/getConfPartInstPeriod
43,11,15,26,390,CommonService,RolWS/confirmROL
913,4,313,54,16902,CommonService,RolWS/getCollteral
102,5,11,53,583,CommonService,RolWS/getConfHousingAppraisal
339,161,256,3,768,CommonService,UnsecureWS/bypassLogin
255711,6,1861,727,1352947,CommonService,UnsecureWS/login
29,12,17,10,170,CommonService,WorkflowWS/changeApprove020ApproveType
27,5,8,65,520,CommonService,WorkflowWS/getApprove020ApproveType
312,26,56,49,2744,CommonService,WorkflowWS/getDefaultPoolList
1882,4,173,1002,173346,CommonService,WorkflowWS/listUserInbox
132169,3,345,578,199410,CommonService,WorkflowWS/logout
475,3,115,940,108100,CommonService,WorkflowWS/openCaseByAppNo
528,528,528,1,528,CommonService,additionalDocumentWS/addInterestRateReductionDocument
1338,62,99,703,69597,CommonService,addressWS/getAllAddress
1437,90,159,108,17172,CommonService,addressWS/getAllDIHDistrict
82,5,19,108,2052,CommonService,addressWS/getAllDIHProvince
3220,548,740,108,79920,CommonService,addressWS/getAllDIHSubDistrict
54,4,8,110,880,CommonService,applicationCaseWS/applicationExternalService
23,4,8,19,152,CommonService,applicationCaseWS/applicationRiskChecking
266,107,169,6,1014,CommonService,applicationCaseWS/getApplicationHistory
1906,5,165,504,83160,CommonService,applicationCaseWS/getApplicationStatus
26,5,8,14,112,CommonService,applicationCaseWS/getApplicationSuspectRiskList
103,5,16,47,752,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
2551,3,1054,61,64294,CommonService,applicationCaseWS/getAppointmentInfo
567,30,151,2118,319818,CommonService,applicationCaseWS/getApproverTable
569,423,484,7,3388,CommonService,applicationCaseWS/getAssignModelUserList
272,37,113,14,1582,CommonService,applicationCaseWS/getAssignUserList
736,51,218,357,77826,CommonService,applicationCaseWS/getCreditorsTable
218,97,175,18,3150,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
19,5,9,4,36,CommonService,applicationCaseWS/getInterestRateReductionDocument
317,184,263,18,4734,CommonService,applicationCaseWS/getManagerOfSpecificBranch
34,6,8,93,744,CommonService,applicationCaseWS/getSmartServeCaseId
21,7,9,29,261,CommonService,applicationCaseWS/getWitness1ForDsa
22,7,9,29,261,CommonService,applicationCaseWS/getWitness2ForDsa
61,10,35,2,70,CommonService,applicationCaseWS/saveApplicationRiskList
