MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
1558,113,670,3,2010,AgentService,agentWS/startFraudResultManual
15,2,8,2,16,ApplicationService,cacheWS/list
536,1,21,520,10920,ApplicationService,cacheWS/refresh
1706,4,134,520,69680,ApplicationService,cacheWS/start
3,3,3,1,3,ApplicationService,settingWS/getRuntimeConfig
10,5,6,3,18,ApplicationService,settingWS/setRuntimeConfig
189,2,28,647,18116,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
928,78,185,648,119880,CommonService,ConfHousingGradeWS/getConfHousingGrade
476,81,182,242,44044,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
242,1,20,1225,24500,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
394,268,316,4,1264,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
26803,11455,15145,13,196885,CommonService,LoanWS/getHLCollateral
29629,3,5243,36,188748,CommonService,LoanWS/getHomeLendingLimit
409,1,9,189,1701,CommonService,PartInstPeriodWS/getConfPartInstPeriod
53,14,28,3,84,CommonService,RolWS/confirmROL
306,53,155,6,930,CommonService,RolWS/getCollteral
85,7,42,6,252,CommonService,RolWS/getConfHousingAppraisal
487,156,298,26,7748,CommonService,UnsecureWS/bypassLogin
1596,8,67,962,64454,CommonService,UnsecureWS/login
105,12,58,4,232,CommonService,WorkflowWS/changeApprove020ApproveType
80,5,18,24,432,CommonService,WorkflowWS/getApprove020ApproveType
17,13,15,2,30,CommonService,WorkflowWS/getDefaultPoolList
979,5,81,1324,107244,CommonService,WorkflowWS/listUserInbox
293,2,10,591,5910,CommonService,WorkflowWS/logout
624,12,66,1045,68970,CommonService,WorkflowWS/openCaseByAppNo
1187,61,130,1691,219830,CommonService,addressWS/getAllAddress
885,77,262,96,25152,CommonService,addressWS/getAllDIHDistrict
188,5,42,96,4032,CommonService,addressWS/getAllDIHProvince
11776,582,1942,96,186432,CommonService,addressWS/getAllDIHSubDistrict
110,5,13,80,1040,CommonService,applicationCaseWS/applicationExternalService
151,34,78,22,1716,CommonService,applicationCaseWS/getApplicationHistory
710,20,124,394,48856,CommonService,applicationCaseWS/getApplicationStatus
559,22,104,664,69056,CommonService,applicationCaseWS/getApproverTable
128,26,63,16,1008,CommonService,applicationCaseWS/getAssignUserList
76,4,14,12,168,CommonService,applicationCaseWS/getComment
560,26,95,188,17860,CommonService,applicationCaseWS/getCreditorsTable
60,20,40,2,80,CommonService,applicationCaseWS/getInterestRateReductionDocument
93,4,11,223,2453,CommonService,applicationCaseWS/getSmartServeCaseId
172,48,99,4,396,CommonService,applicationCaseWS/saveAssignTask
117,12,37,8,296,CommonService,applicationCaseWS/saveComment
3634,49,258,240,61920,CommonService,atomicWS/registerSestionService
47,47,47,1,47,CommonService,confResubmitReasonWS/confResubmitReason
1386,199,792,2,1584,CommonService,connectCloudPrintWS/printPdfOtherReject
1237,96,381,9,3429,CommonService,connectCloudPrintWS/printPdfVerifyDocument
111,7,26,46,1196,CommonService,csvWS/download
214,12,103,11,1133,CommonService,csvWS/upload
13343,118,1327,214,283978,CommonService,customerWS/findCustomerFromCIS
2987,217,961,5,4805,CommonService,customerWS/findCustomerList
6438,860,2416,23,55568,CommonService,customerWS/findKplusCustomer
423,5,26,441,11466,CommonService,customerWS/getInquiryTable
84,2,8,159,1272,CommonService,customerWS/inquiryKPlusAcceptResult
9695,1208,5485,5,27425,CommonService,decisionEngineWS/getLoanCal
3423,324,1084,78,84552,CommonService,decisionEngineWS/getPolicy
