Period(ms),Service,Operation
5252,AgentService,agentWS/startFraudResultManual
8,ApplicationService,cacheWS/refresh
355,ApplicationService,cacheWS/start
27,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
529,CommonService,ConfHousingGradeWS/getConfHousingGrade
427,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
13,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
4857,CommonService,KbmfOnlineCatsWS/InquiryCollateral
204,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
5020,CommonService,LoanWS/getHomeLendingLimit
4,CommonService,PartInstPeriodWS/getConfPartInstPeriod
36,CommonService,RolWS/confirmROL
207,CommonService,RolWS/getCollteral
24,CommonService,RolWS/getConfHousingAppraisal
306,CommonService,UnsecureWS/bypassLogin
69,CommonService,UnsecureWS/login
37,CommonService,WorkflowWS/changeApprove020ApproveType
16,CommonService,WorkflowWS/getApprove020ApproveType
40,CommonService,WorkflowWS/getDefaultPoolList
208,CommonService,WorkflowWS/listUserInbox
5,CommonService,WorkflowWS/logout
148,CommonService,WorkflowWS/openCaseByAppNo
576,CommonService,additionalDocumentWS/addDocument
864,CommonService,additionalDocumentWS/addInterestRateReductionDocument
102,CommonService,additionalDocumentWS/deleteDocument
262,CommonService,additionalDocumentWS/deleteInterestRateReductionDocument
333,CommonService,additionalDocumentWS/editInterestRateReductionDocument
192,CommonService,addressWS/getAllAddress
216,CommonService,addressWS/getAllDIHDistrict
35,CommonService,addressWS/getAllDIHProvince
899,CommonService,addressWS/getAllDIHSubDistrict
14,CommonService,applicationCaseWS/applicationExternalService
33,CommonService,applicationCaseWS/applicationRiskChecking
92,CommonService,applicationCaseWS/deleteApplicationRiskList
231,CommonService,applicationCaseWS/getApplicationHistory
305,CommonService,applicationCaseWS/getApplicationStatus
38,CommonService,applicationCaseWS/getApplicationSuspectRiskList
22,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
916,CommonService,applicationCaseWS/getAppointmentInfo
182,CommonService,applicationCaseWS/getApproverTable
198,CommonService,applicationCaseWS/getCreditorsTable
218,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
24,CommonService,applicationCaseWS/getInterestRateReductionDocument
319,CommonService,applicationCaseWS/getManagerOfSpecificBranch
15,CommonService,applicationCaseWS/getSmartServeCaseId
