Log Time,Period(ms),Service,Operation
2018-07-05 10:55:19,4371,AgentService,agentWS/startFraudResultManual
2018-07-06 10:03:31,6133,AgentService,agentWS/startFraudResultManual
2018-07-06 16:56:29,125,CommonService,WorkflowWS/openCaseByAppNo/H610038FR0
2018-07-06 16:56:31,13,CommonService,statusRejectWS/getRejectList/H610038FR0
2018-07-06 16:56:36,38,CommonService,WorkflowWS/listUserInbox
2018-07-06 16:56:43,3,CommonService,WorkflowWS/logout
2018-07-06 16:56:55,22,CommonService,applicationCaseWS/getInterestRateReductionDocument/H61003D4R0
2018-07-06 16:56:55,3,CommonService,dropdownWS/getConfKdmsDocumentDropDown/6
2018-07-06 16:56:59,104,CommonService,applicationCaseWS/getApplicationStatus/H610040DR0
2018-07-06 16:57:01,12,CommonService,resubmitReasonWS/doFindAppStatus/H610040DR0
2018-07-06 16:57:04,17,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-06 16:57:04,4,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-06 16:57:04,21,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-06 16:57:04,20,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-06 16:57:04,26,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-06 16:57:04,115,CommonService,addressWS/getAllAddress
2018-07-06 16:57:04,72,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-06 16:57:16,3,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
2018-07-06 16:57:16,24,CommonService,dropdownWS/getDropdown/HL_PROFESSION
2018-07-06 16:57:16,28,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
2018-07-06 16:57:16,80,CommonService,addressWS/getAllAddress
2018-07-06 16:57:42,864,CommonService,additionalDocumentWS/addInterestRateReductionDocument
2018-07-06 16:58:15,10,CommonService,applicationCaseWS/getInterestRateReductionDocument/H61003D4R0
2018-07-06 16:58:16,3,CommonService,dropdownWS/getConfKdmsDocumentDropDown/6
2018-07-06 16:58:16,6,CommonService,WorkflowWS/getApprove020ApproveType
