72ms,CommonService,dropdownWS/getDropdown/HL_PROFESSION
79ms,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
76ms,CommonService,dropdownWS/getDropdown/BANK_CODE
73ms,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
146ms,CommonService,addressWS/getAllAddress
102ms,CommonService,addressWS/getAllAddress
97ms,CommonService,UnsecureWS/login
26ms,CommonService,messageCodeWS/getAllMessage
412ms,CommonService,WorkflowWS/listUserInbox
8ms,CommonService,dropdownWS/getDropdown/HL_PRODUCT_MA
10ms,CommonService,dropdownWS/getAppStatusDropdown
27ms,CommonService,dropdownWS/getDropdown/SALE_CHANNEL
40ms,CommonService,customerWS/getInquiryTable
204ms,CommonService,WorkflowWS/openCaseByAppNo/H61002CBR0
20ms,CommonService,statusRejectWS/getRejectList/H61002CBR0
19ms,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
8ms,CommonService,dropdownWS/getConfValueList/CTR_COLL_MAIN_TYPE
40ms,CommonService,dropdownWS/getDropdown/CTR_ASSET_TYPE
45ms,CommonService,dropdownWS/getDropdown/HL_RESIDENT_TYPE
46ms,CommonService,dropdownWS/getDropdown/CTR_COLLATERAL_SUB_TYPE
9ms,CommonService,dropdownWS/getDropdown/CTR_JURISTIC_ACT
7ms,CommonService,dropdownWS/getDropdown/CTR_ACCEPT_RESULT
12ms,CommonService,dropdownWS/getDropdown/CTR_ASSET_GROUP
22ms,CommonService,dropdownWS/getDropdown/CTR_LEASING_TYPE
38ms,CommonService,dropdownWS/getDropdown/CTR_BUILDING_TYPE
43ms,CommonService,dropdownWS/getDropdown/CTR_DOCUMENT_TYPE
21ms,CommonService,dropdownWS/getDropdown/CMS_COLL_TYPE
16ms,CommonService,dropdownWS/getDropdown/CMS_COLL_SUB_TYPE
182ms,CommonService,addressWS/getAllDIHProvince
632ms,CommonService,addressWS/getAllDIHDistrict
2408ms,CommonService,addressWS/getAllDIHSubDistrict
62ms,CommonService,addressWS/getAllDIHProvince
406ms,CommonService,addressWS/getAllDIHDistrict
9ms,CommonService,WorkflowWS/logout
2637ms,CommonService,addressWS/getAllDIHSubDistrict
6ms,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
6ms,CommonService,dropdownWS/getDropdown/HL_PART_INST_CODE
14ms,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
13ms,CommonService,dropdownWS/getDropdown/HL_PURPOSE
17ms,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
23ms,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
24ms,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
60ms,CommonService,statusRejectWS/getRejectList/H61002CBR0
54ms,CommonService,UnsecureWS/login
23ms,CommonService,messageCodeWS/getAllMessage
142ms,CommonService,WorkflowWS/listUserInbox
87ms,CommonService,WorkflowWS/openCaseByAppNo/H61002C1R0
31ms,CommonService,statusRejectWS/getRejectList/H61002C1R0
8ms,CommonService,dropdownWS/getDropdown/HL_PURPOSE
8ms,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
9ms,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
18ms,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
21ms,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
