MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,Service,Operation
6133,4371,5252,2,AgentService,agentWS/startFraudResultManual
61,2,8,60,ApplicationService,cacheWS/refresh
2680,23,355,60,ApplicationService,cacheWS/start
345,3,27,384,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
13265,187,529,384,CommonService,ConfHousingGradeWS/getConfHousingGrade
7373,78,427,113,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
357,1,13,894,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
10734,15,4857,62,CommonService,KbmfOnlineCatsWS/InquiryCollateral
1552,110,204,52,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
9007,3787,5020,13,CommonService,LoanWS/getHomeLendingLimit
38,1,4,367,CommonService,PartInstPeriodWS/getConfPartInstPeriod
159,11,36,53,CommonService,RolWS/confirmROL
922,6,207,71,CommonService,RolWS/getCollteral
125,6,24,70,CommonService,RolWS/getConfHousingAppraisal
317,295,306,2,CommonService,UnsecureWS/bypassLogin
1806,5,69,931,CommonService,UnsecureWS/login
129,11,37,11,CommonService,WorkflowWS/changeApprove020ApproveType
230,5,16,102,CommonService,WorkflowWS/getApprove020ApproveType
139,19,40,37,CommonService,WorkflowWS/getDefaultPoolList
4688,3,208,1434,CommonService,WorkflowWS/listUserInbox
259,2,5,718,CommonService,WorkflowWS/logout
1251,4,148,1341,CommonService,WorkflowWS/openCaseByAppNo
576,576,576,1,CommonService,additionalDocumentWS/addDocument
864,864,864,1,CommonService,additionalDocumentWS/addInterestRateReductionDocument
102,102,102,1,CommonService,additionalDocumentWS/deleteDocument
262,262,262,1,CommonService,additionalDocumentWS/deleteInterestRateReductionDocument
333,333,333,1,CommonService,additionalDocumentWS/editInterestRateReductionDocument
7306,6,192,1194,CommonService,addressWS/getAllAddress
1407,105,216,723,CommonService,addressWS/getAllDIHDistrict
299,5,35,723,CommonService,addressWS/getAllDIHProvince
22185,529,899,723,CommonService,addressWS/getAllDIHSubDistrict
102,5,14,162,CommonService,applicationCaseWS/applicationExternalService
68,5,33,19,CommonService,applicationCaseWS/applicationRiskChecking
117,68,92,3,CommonService,applicationCaseWS/deleteApplicationRiskList
354,109,231,2,CommonService,applicationCaseWS/getApplicationHistory
25147,28,305,433,CommonService,applicationCaseWS/getApplicationStatus
60,6,38,12,CommonService,applicationCaseWS/getApplicationSuspectRiskList
156,5,22,80,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
6053,4,916,82,CommonService,applicationCaseWS/getAppointmentInfo
479,71,182,144,CommonService,applicationCaseWS/getApproverTable
24833,39,198,408,CommonService,applicationCaseWS/getCreditorsTable
539,10,218,67,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
82,5,24,9,CommonService,applicationCaseWS/getInterestRateReductionDocument
704,9,319,67,CommonService,applicationCaseWS/getManagerOfSpecificBranch
88,5,15,172,CommonService,applicationCaseWS/getSmartServeCaseId
67,9,18,13,CommonService,applicationCaseWS/getWitness1ForDsa
67,7,17,13,CommonService,applicationCaseWS/getWitness2ForDsa
1263,31,455,4,CommonService,applicationCaseWS/reSendMQMessages
