Period(ms),Service,Operation
4371,AgentService,agentWS/startFraudResultManual
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfDQEProvinceRelationCacheWorker
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfHomeBuilderCacheWorker
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfHousingGradeCacheWorker
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfKcpsProductCacheWorker
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfMrtaInterestCacheWorker
6,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfMrtaValidationCacheWorker
15,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfRejectReasonCacheWorker
2,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.ConfSignOffExceptionCacheWorker
3,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.DIHCMSDistrictCacheWorker
3,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.DIHCMSProvinceCacheWorker
12,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.DIHCMSSubdistrictCacheWorker
8,ApplicationService,cacheWS/refresh/com.kbank.workflow.cache.DihMktCdCacheWorker
110,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfDQEProvinceRelationCacheWorker
63,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfHomeBuilderCacheWorker
362,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfHousingGradeCacheWorker
2484,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfKcpsProductCacheWorker
477,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfMrtaInterestCacheWorker
60,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfMrtaValidationCacheWorker
102,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfRejectReasonCacheWorker
59,ApplicationService,cacheWS/start/com.kbank.workflow.cache.ConfSignOffExceptionCacheWorker
259,ApplicationService,cacheWS/start/com.kbank.workflow.cache.DIHCMSDistrictCacheWorker
41,ApplicationService,cacheWS/start/com.kbank.workflow.cache.DIHCMSProvinceCacheWorker
979,ApplicationService,cacheWS/start/com.kbank.workflow.cache.DIHCMSSubdistrictCacheWorker
86,ApplicationService,cacheWS/start/com.kbank.workflow.cache.DihMktCdCacheWorker
29,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
627,CommonService,ConfHousingGradeWS/getConfHousingGrade
476,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
14,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
4696,CommonService,KbmfOnlineCatsWS/InquiryCollateral
213,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
9007,CommonService,LoanWS/getHomeLendingLimit/2311763/LN/H61003EAR0
5348,CommonService,LoanWS/getHomeLendingLimit/3367861/LN/H61003BBR0
3,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
13,CommonService,PartInstPeriodWS/getConfPartInstPeriod/2
12,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
13,CommonService,PartInstPeriodWS/getConfPartInstPeriod/4
2,CommonService,PartInstPeriodWS/getConfPartInstPeriod/5
3,CommonService,PartInstPeriodWS/getConfPartInstPeriod/6
4,CommonService,PartInstPeriodWS/getConfPartInstPeriod/7
35,CommonService,RolWS/confirmROL
124,CommonService,RolWS/getCollteral/H6100044R0
109,CommonService,RolWS/getCollteral/H610004DR0
260,CommonService,RolWS/getCollteral/H61000A2R0
215,CommonService,RolWS/getCollteral/H61000AER0
177,CommonService,RolWS/getCollteral/H610011AR0
173,CommonService,RolWS/getCollteral/H61002FER0
78,CommonService,RolWS/getCollteral/H6100377R0
173,CommonService,RolWS/getCollteral/H610037ER0
92,CommonService,RolWS/getCollteral/H6100382R0
473,CommonService,RolWS/getCollteral/H61003C9R0
115,CommonService,RolWS/getCollteral/H61003CDR0
922,CommonService,RolWS/getCollteral/H61003D9R0
74,CommonService,RolWS/getCollteral/H61003DER0
135,CommonService,RolWS/getCollteral/H61003EBR0
317,CommonService,RolWS/getCollteral/H61003EER0
163,CommonService,RolWS/getCollteral/H61003F8R0
149,CommonService,RolWS/getCollteral/H61003FDR0
74,CommonService,RolWS/getCollteral/H6100406R0
83,CommonService,RolWS/getCollteral/H6100408R0
103,CommonService,RolWS/getCollteral/H610040DR0
249,CommonService,RolWS/getCollteral/H6100410R0
137,CommonService,RolWS/getCollteral/H6100413R0
78,CommonService,RolWS/getCollteral/H6100417R0
166,CommonService,RolWS/getCollteral/H6100419R0
597,CommonService,RolWS/getCollteral/H610041BR0
157,CommonService,RolWS/getCollteral/H610041ER0
111,CommonService,RolWS/getCollteral/H610041FR0
221,CommonService,RolWS/getCollteral/H6100420R0
117,CommonService,RolWS/getCollteral/H6100421R0
225,CommonService,RolWS/getCollteral/H6100422R0
146,CommonService,RolWS/getCollteral/H6100423R0
75,CommonService,RolWS/getCollteral/H610042AR0
70,CommonService,RolWS/getCollteral/H610042BR0
392,CommonService,RolWS/getCollteral/H610042DR0
100,CommonService,RolWS/getCollteral/H610042FR0
91,CommonService,RolWS/getCollteral/H6100430R0
161,CommonService,RolWS/getCollteral/H6100431R0
185,CommonService,RolWS/getCollteral/H6100433R0
396,CommonService,RolWS/getCollteral/H6100434R0
88,CommonService,RolWS/getCollteral/H6100436R0
233,CommonService,RolWS/getCollteral/HL00012722561
10,CommonService,RolWS/getConfHousingAppraisal/H6100044R0
9,CommonService,RolWS/getConfHousingAppraisal/H610004DR0
28,CommonService,RolWS/getConfHousingAppraisal/H61000A2R0
7,CommonService,RolWS/getConfHousingAppraisal/H61000AER0
9,CommonService,RolWS/getConfHousingAppraisal/H610011AR0
13,CommonService,RolWS/getConfHousingAppraisal/H61002FER0
9,CommonService,RolWS/getConfHousingAppraisal/H6100377R0
9,CommonService,RolWS/getConfHousingAppraisal/H610037ER0
7,CommonService,RolWS/getConfHousingAppraisal/H6100382R0
123,CommonService,RolWS/getConfHousingAppraisal/H61003C9R0
11,CommonService,RolWS/getConfHousingAppraisal/H61003CDR0
56,CommonService,RolWS/getConfHousingAppraisal/H61003D9R0
9,CommonService,RolWS/getConfHousingAppraisal/H61003DER0
10,CommonService,RolWS/getConfHousingAppraisal/H61003EBR0
23,CommonService,RolWS/getConfHousingAppraisal/H61003EER0
9,CommonService,RolWS/getConfHousingAppraisal/H61003F8R0
125,CommonService,RolWS/getConfHousingAppraisal/H61003FDR0
10,CommonService,RolWS/getConfHousingAppraisal/H6100406R0
7,CommonService,RolWS/getConfHousingAppraisal/H6100408R0
12,CommonService,RolWS/getConfHousingAppraisal/H610040DR0
116,CommonService,RolWS/getConfHousingAppraisal/H6100410R0
7,CommonService,RolWS/getConfHousingAppraisal/H6100413R0
9,CommonService,RolWS/getConfHousingAppraisal/H6100417R0
7,CommonService,RolWS/getConfHousingAppraisal/H6100419R0
57,CommonService,RolWS/getConfHousingAppraisal/H610041BR0
11,CommonService,RolWS/getConfHousingAppraisal/H610041ER0
9,CommonService,RolWS/getConfHousingAppraisal/H610041FR0
11,CommonService,RolWS/getConfHousingAppraisal/H6100420R0
9,CommonService,RolWS/getConfHousingAppraisal/H6100421R0
48,CommonService,RolWS/getConfHousingAppraisal/H6100422R0
8,CommonService,RolWS/getConfHousingAppraisal/H6100423R0
10,CommonService,RolWS/getConfHousingAppraisal/H610042AR0
10,CommonService,RolWS/getConfHousingAppraisal/H610042BR0
