Log Time,Period(ms),Service,Operation
2018-07-05 10:55:19,4371,AgentService,agentWS/startFraudResultManual
2018-07-05 18:34:01,418,CommonService,UnsecureWS/login
2018-07-05 18:34:01,262,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:34:08,169,CommonService,WorkflowWS/openCaseByAppNo/H61003EER0
2018-07-05 18:34:08,106,CommonService,statusRejectWS/getRejectList/H61003EER0
2018-07-05 18:34:26,159,CommonService,UnsecureWS/login
2018-07-05 18:34:27,109,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:34:28,876,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:34:30,330,CommonService,WorkflowWS/openCaseByAppNo/H6100434R0
2018-07-05 18:34:30,121,CommonService,statusRejectWS/getRejectList/H6100434R0
2018-07-05 18:34:38,74,CommonService,statusRejectWS/getRejectList/H61003EER0
2018-07-05 18:36:30,297,CommonService,UnsecureWS/login
2018-07-05 18:36:32,113,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:36:34,1960,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:36:38,23,CommonService,WorkflowWS/logout
2018-07-05 18:36:41,434,CommonService,WorkflowWS/openCaseByAppNo/H610015BR1
2018-07-05 18:36:41,92,CommonService,statusRejectWS/getRejectList/H610015BR1
2018-07-05 18:37:09,167,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:15,6,CommonService,WorkflowWS/logout
2018-07-05 18:37:19,4096,CommonService,applicationCaseWS/getAppointmentInfo/H610015BR1
2018-07-05 18:37:19,93,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H610015BR1
2018-07-05 18:37:19,24,CommonService,dropdownWS/getDropdown/DISBURSEMENT_TYPE
2018-07-05 18:37:19,31,CommonService,dropdownWS/getDropdown/DISBURSEMENT_BY
2018-07-05 18:37:20,539,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810004
2018-07-05 18:37:20,634,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810004
2018-07-05 18:37:21,297,CommonService,UnsecureWS/login
2018-07-05 18:37:23,39,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:37:23,738,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:27,56,CommonService,UnsecureWS/login
2018-07-05 18:37:28,617,CommonService,WorkflowWS/openCaseByAppNo/H61003D5R0
2018-07-05 18:37:28,888,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:29,74,CommonService,statusRejectWS/getRejectList/H61003D5R0
2018-07-05 18:37:30,19,CommonService,WorkflowWS/logout
2018-07-05 18:37:36,1235,CommonService,applicationCaseWS/getAppointmentInfo/H61003D5R0
2018-07-05 18:37:37,47,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61003D5R0
2018-07-05 18:37:37,36,CommonService,dropdownWS/getDropdown/DISBURSEMENT_BY
2018-07-05 18:37:37,69,CommonService,dropdownWS/getDropdown/DISBURSEMENT_TYPE
2018-07-05 18:37:37,344,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810193
2018-07-05 18:37:37,444,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810193
2018-07-05 18:37:39,6492,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:37:47,52,CommonService,UnsecureWS/login
2018-07-05 18:37:48,33,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:37:48,260,CommonService,UnsecureWS/login
2018-07-05 18:37:48,429,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:49,43,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:37:50,184,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:50,242,CommonService,UnsecureWS/login
2018-07-05 18:37:50,284,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:37:52,158,CommonService,WorkflowWS/openCaseByAppNo/H6100432R0
2018-07-05 18:37:52,20,CommonService,statusRejectWS/getRejectList/H6100432R0
2018-07-05 18:37:55,220,CommonService,WorkflowWS/openCaseByAppNo/H610033DR0
2018-07-05 18:37:56,51,CommonService,statusRejectWS/getRejectList/H610033DR0
2018-07-05 18:38:03,31,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-05 18:38:03,31,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-05 18:38:03,49,CommonService,dropdownWS/getDropdown/HL_GENDER
2018-07-05 18:38:03,68,CommonService,dropdownWS/getDropdown/HL_DOC_REG
2018-07-05 18:38:03,50,CommonService,dropdownWS/getDropdown/HL_RELATION_BORROWER_FR
2018-07-05 18:38:03,67,CommonService,dropdownWS/getDropdown/HL_NATIONALITY
2018-07-05 18:38:10,34,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:38:14,49,CommonService,UnsecureWS/login
2018-07-05 18:38:14,2320,CommonService,customerWS/findCustomerFromCIS
2018-07-05 18:38:15,34,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:38:16,880,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:16,93,CommonService,statusRejectWS/getRejectList/H61000AER0
2018-07-05 18:38:25,818,CommonService,WorkflowWS/openCaseByAppNo/H6100267R0
2018-07-05 18:38:26,139,CommonService,statusRejectWS/getRejectList/H6100267R0
2018-07-05 18:38:28,242,CommonService,dropdownWS/getDropdown/HL_PRODUCT
2018-07-05 18:38:29,213,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:38:29,200,CommonService,dropdownWS/getDropdown/BANK_CODE
2018-07-05 18:38:29,200,CommonService,dropdownWS/getDropdown/HL_RESIDENT_TYPE
2018-07-05 18:38:29,200,CommonService,dropdownWS/getDropdown/SECOND_HAND_HOME_TYPE_CODE
2018-07-05 18:38:29,200,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-05 18:38:30,5,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:38:30,104,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-05 18:38:30,634,CommonService,addressWS/getAllAddress
2018-07-05 18:38:30,702,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
2018-07-05 18:38:31,1789,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-05 18:38:32,868,CommonService,UnsecureWS/login
2018-07-05 18:38:32,37,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:38:32,286,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:33,422,CommonService,applicationCaseWS/getAppointmentInfo/H6100267R0
2018-07-05 18:38:33,10,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H6100267R0
2018-07-05 18:38:33,11,CommonService,dropdownWS/getDropdown/DISBURSEMENT_TYPE
2018-07-05 18:38:33,15,CommonService,dropdownWS/getDropdown/DISBURSEMENT_BY
2018-07-05 18:38:33,257,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810005
2018-07-05 18:38:33,379,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810005
